Organization Name,Networks Shared With Me,Networks I'm Sharing
Pembroke Pines FL PD,Pembroke Pines FL PD,St Petersburg FL PD - NPF LPR Study
Lawtey FL PD,"Lawtey FL PD LPR,Lawtey FL PD - Redspeed",St Petersburg FL PD - NPF LPR Study
Vero Beach FL PD,"Vero Beach FL PD,Vero Beach FL PD (Condor)",St Petersburg FL PD - NPF LPR Study
Taylor County FL SO,"Taylor County FL SO,Taylor County FL SO (Condor),Taylor County FL SO (Flex) ",St Petersburg FL PD - NPF LPR Study
Tampa FL PD,"Tampa FL PD,Tampa FL PD (Flex),Tampa FL PD - Wing ",St Petersburg FL PD - NPF LPR Study
Simpsonville SC PD,Simpsonville SC PD,
Lee County AL SO,Lee County AL SO,
Daytona Beach Shores FL PD,Daytona Beach Shores FL PD,St Petersburg FL PD - NPF LPR Study
Leesburg AL PD,Leesburg AL PD,
Titusville FL PD,"Titusville FL PD,Titusville FL PD (Condor)",St Petersburg FL PD - NPF LPR Study
Stuart FL PD,"Stuart FL PD,Stuart FL PD (Flexes)",St Petersburg FL PD - NPF LPR Study
Palm Bay FL PD,Palm Bay FL PD,St Petersburg FL PD - NPF LPR Study
Miami Springs FL PD,"Miami Springs FL PD,Miami Springs FL PD Live View",St Petersburg FL PD - NPF LPR Study
Lantana FL PD,"Lantana FL PD,Lantana FL PD Flex",St Petersburg FL PD - NPF LPR Study
Duluth GA PD,"Duluth GA PD,Duluth GA PD - RedSpeed",
Alachua FL PD,"Alachua FL PD ,Alachua FL PD (Condor),Alachua FL PD (FLEX),Alachua FL PD - Wing",St Petersburg FL PD - NPF LPR Study
Gainesville GA PD,"Gainesville GA PD,Gainesville PD (GA) Flex",
Village of Palm Springs FL PD,Palm Springs FL PD,St Petersburg FL PD - NPF LPR Study
Center Point AL PD,Center Point AL,
Austell GA PD,Austell GA PD,
Harris County GA SO,"Harris County GA SO,Harris County GA SO Falcon Flex",
Lake County FL SO,"Lake County FL SO (Flex),Lake County FL SO",St Petersburg FL PD - NPF LPR Study
Laurens SC PD,"Laurens SC PD (Flex),Laurens SC PD",
Okeechobee County FL SO,"Okeechobee County FL SO ( Falcon Flex) ,Okeechobee County FL SO",St Petersburg FL PD - NPF LPR Study
Fernandina Beach FL PD,Fernandina Beach FL PD,St Petersburg FL PD - NPF LPR Study
Coral Springs FL PD,Coral Springs FL PD,St Petersburg FL PD - NPF LPR Study
St. Augustine FL PD,St. Augustine FL PD,St Petersburg FL PD - NPF LPR Study
Slocomb AL PD,Slocomb AL PD,
Colquitt County GA SO,"Colquitt County GA SO (Flex),Colquitt County GA SO",
Waycross GA PD,Waycross GA PD,
Jacksonville Beach FL PD,"Jacksonville Beach FL PD,Jacksonville Beach FL PD (Video Cameras)",St Petersburg FL PD - NPF LPR Study
Fort Pierce FL PD,"Fort Pierce FL PD (Condor),Fort Pierce FL PD Flex,Fort Pierce FL PD,Fort Pierce FL PD - Patrol Live ,Fort Pierce FL PD - Raven",St Petersburg FL PD - NPF LPR Study
Wilton Manors FL PD,"Wilton Manors FL PD (Falcon Flex) ,Wilton Manors FL PD",St Petersburg FL PD - NPF LPR Study
Pinecrest FL PD,Pinecrest FL PD,St Petersburg FL PD - NPF LPR Study
Oviedo FL PD,Oviedo FL PD,St Petersburg FL PD - NPF LPR Study
Coconut Creek FL PD,Coconut Creek FL PD,St Petersburg FL PD - NPF LPR Study
Oglethorpe County GA SO,Oglethorpe County GA SO,
Cross City FL PD,"Cross City FL PD,Cross City FL PD (Flex)",St Petersburg FL PD - NPF LPR Study
Cookeville TN PD,Cookeville TN PD,
Baytown TX PD,Baytown TX PD ,
Columbia County GA SO,Columbia County GA SO,
St. Charles Parish LA SO,"St. Charles Parish LA SO (Flex),St. Charles Parish LA SO",
Mount Pleasant SC PD,"Mount Pleasant SC PD (Flex),Mount Pleasant SC PD",
Tybee Island GA PD,"Tybee Island GA PD (Flex),Tybee Island GA PD",
Union County FL SO,Union County FL SO,St Petersburg FL PD - NPF LPR Study
Jackson County FL SO,Jackson County FL SO,St Petersburg FL PD - NPF LPR Study
Lancaster County SC SO,"Lancaster County SC SO,Lancaster County SC SO (Flex)",
Akron OH PD,Akron OH PD,
Lake Park GA PD,Lake Park GA PD,St Petersburg FL PD - NPF LPR Study
St. Lucie County FL SO,St. Lucie County FL SO,St Petersburg FL PD - NPF LPR Study
Palm Beach FL PD,"Palm Beach FL PD - Genetec LPR SharpV,Palm Beach FL PD Flexes,Palm Beach FL PD,Palm Beach FL PD (Condor)",St Petersburg FL PD - NPF LPR Study
Troup County GA SO,Troup County GA SO,
Washington County FL SO,Washington County FL SO,St Petersburg FL PD - NPF LPR Study
West Palm Beach FL PD,West Palm Beach FL PD,St Petersburg FL PD - NPF LPR Study
Alpharetta GA PD,"Alpharetta GA PD,Alpharetta GA PD - RedSpeed",
High Springs FL PD,"High Springs FL PD - Redspeed,High Springs FL PD,High Springs FL PD Flex",St Petersburg FL PD - NPF LPR Study
Miami Gardens FL PD,Miami Gardens FL PD,St Petersburg FL PD - NPF LPR Study
St. Bernard Parish LA SO,St. Bernard Parish LA SO,
Sandy Springs GA PD,Sandy Springs GA PD,
Port St. Lucie FL PD,"Port St. Lucie FL PD,Port St. Lucie FL PD (Flex)",St Petersburg FL PD - NPF LPR Study
WakeMed Campus PD and Public Safety (NC),WakeMed Campus PD & Public Safety (NC),
Locust Grove GA PD,Locust Grove GA PD,
Marianna FL PD,Marianna FL PD ,St Petersburg FL PD - NPF LPR Study
South Daytona FL PD,South Daytona FL PD,St Petersburg FL PD - NPF LPR Study
Jackson County MS SO,Jackson County MS SO,
Georgia Bureau of Investigation (GBI),"Georgia Bureau of Investigation - Falcon Flex,Georgia Bureau of Investigation",
Sanibel FL PD,Sanibel FL PD,St Petersburg FL PD - NPF LPR Study
Lincoln AL PD,"Lincoln AL PD (Flex),Lincoln AL PD",
University of South Florida FL PD,"University of South Florida PD (FL) Flex,University of South Florida FL PD",St Petersburg FL PD - NPF LPR Study
Daphne AL PD,Daphne AL PD,
Baker County FL SO,Baker County FL SO,St Petersburg FL PD - NPF LPR Study
Gilchrist County FL SO,"Gilchrist County FL SO,Gilchrist County FL SO (Flex)",St Petersburg FL PD - NPF LPR Study
Henry County GA PD,"Henry County GA PD,Henry County GA PD - Wing,Henry County GA - Wing LVI (Redspeed)",
Alabama Law Enforcement Agency (ALEA),"ALEA,Alabama Law Enforcement Agency (ALEA)",
Easley SC PD,Easley SC PD,
Daytona Beach FL PD,Daytona Beach FL PD,St Petersburg FL PD - NPF LPR Study
Moody AL PD,Moody AL PD,
Surfside Beach SC PD,Surfside Beach SC PD,
Coffee County GA SO,Coffee County GA SO,
Dixie County FL SO,Dixie County FL SO (Flex),St Petersburg FL PD - NPF LPR Study
Port Allen LA PD,Port Allen LA PD,
Port Saint Joe FL PD,Port Saint Joe FL PD,St Petersburg FL PD - NPF LPR Study
Robeson County NC SO,Robeson County NC SO,St Petersburg FL PD - NPF LPR Study
Gulf Stream FL PD,Gulf Stream FL PD,St Petersburg FL PD - NPF LPR Study
New Smyrna Beach FL PD,"New Smyrna Beach FL PD,New Smyrna Beach FL PD (Condor)",St Petersburg FL PD - NPF LPR Study
Towns County GA SO ,Towns County GA SO ,
Northport AL PD,Northport AL PD,
Clayton County GA PD,Clayton County GA PD,
Florida Highway Patrol,"Florida Highway Patrol (LR),Florida Highway Patrol - Flex LPR ,Florida Highway Patrol",St Petersburg FL PD - NPF LPR Study
Pinellas Park FL PD,Pinellas Park FL PD,St Petersburg FL PD - NPF LPR Study
Crestview FL PD,Crestview FL PD ,St Petersburg FL PD - NPF LPR Study
Lafayette Parish LA SO,Lafayette Parish LA SO ,
Camden SC PD,Camden SC PD,
Calhoun County AL SO,Calhoun County AL SO,
New College of FL PD,New College of FL PD,
Tuscaloosa County AL SO,Tuscaloosa County AL SO,
Crisp County GA SO,Crisp County GA SO,
Polk County TX SO,Polk County TX SO ,
Chambers County AL SO,Chambers County AL SO,
Port Orange FL PD,Port Orange FL PD,St Petersburg FL PD - NPF LPR Study
Shelby County TN SO,Shelby County TN SO,
Florida City FL PD,Florida City FL PD,St Petersburg FL PD - NPF LPR Study
Carolina Beach NC PD ,"Carolina Beach NC PD (Flex),Carolina Beach NC PD",
Leon County FL SO,Leon County FL SO,St Petersburg FL PD - NPF LPR Study
AL - Jacksonville State University Campus PD,Jacksonville State University Campus PD (AL),
Green Cove Springs FL PD,Green Cove Springs FL PD,St Petersburg FL PD - NPF LPR Study
St. Cloud FL PD,St. Cloud FL PD,St Petersburg FL PD - NPF LPR Study
Bishopville SC PD,Bishopville SC PD,
Port Fourchon Harbor LA PD,Port Fourchon Harbor LA PD,
Homerville GA PD,"Homerville GA PD,Homerville GA PD - Wing Redspeed",
Panama City Beach FL PD,"Panama City Beach FL PD,Panama City Beach FL PD Video Cameras",St Petersburg FL PD - NPF LPR Study
Lyons GA PD,Lyons GA PD,
Orange Beach AL PD,Orange Beach AL PD,
Sumter County SC SO,SC - Sumter Co Sheriff's Office,
AL - Sylacauga PD,Sylacauga PD (AL),
Jupiter FL PD,"Jupiter Fl PD (Condor),Jupiter FL PD",St Petersburg FL PD - NPF LPR Study
Florida State University Campus PD FL,Florida State University Campus PD FL,St Petersburg FL PD - NPF LPR Study
Laurens County GA SO,"Laurens County GA SO,Laurens County GA SO (Flex)",
Eustis FL PD,Eustis FL PD ,St Petersburg FL PD - NPF LPR Study
Townhomes at Millbrooke Ranch (FL),Townhomes at Millbrooke Ranch (FL),
Elgin SC PD,Elgin SC PD,
Monroe GA PD,Monroe GA PD,
Springfield FL PD,Springfield FL PD ,St Petersburg FL PD - NPF LPR Study
Decatur County GA SO,Decatur County GA SO,
Decatur GA PD,Decatur GA PD,
Panama City Airport FL PD,Panama City Airport FL PD,St Petersburg FL PD - NPF LPR Study
Clarendon County SC SO ,Clarendon County SC SO ,
Waveland MS PD,Waveland PD (MS),
Fort Walton Beach FL PD,"Fort Walton Beach FL PD,Fort Walton Beach FL PD (Flex)",St Petersburg FL PD - NPF LPR Study
Macon County AL SO,Macon County SO AL,
Beaumont TX PD,"Beaumont TX PD ,Lower Neches Valley Authority TX PD ",
Leeds AL PD,Leeds AL PD,
Rabun County GA SO,"Rabun County GA SO ,Rabun County GA SO (Flex)",
Largo FL PD,Largo FL PD,St Petersburg FL PD - NPF LPR Study
Panama City FL PD,Panama City FL PD,St Petersburg FL PD - NPF LPR Study
[Federal] US Postal Inspection Service,US Postal Inspection Service - Flex,
Collier County FL SO,"Collier County FL SO (Flex),Collier County FL SO",St Petersburg FL PD - NPF LPR Study
Georgetown County SC SO,Georgetown County SC SO,
Gautier MS PD,Gautier MS PD,
Dale County AL SO,Dale County AL SO,
Franklin GA PD,Franklin GA PD,
Athens-Clarke County GA PD,Athens Clarke County GA PD,
Galena Park ISD TX PD,Galena Park ISD TX PD,
University of North FL PD,University of North FL PD (Falcon),St Petersburg FL PD - NPF LPR Study
Chatham-Savannah Counter Narcotics Team,CNT Flex,
Mooresville NC PD,Mooresville NC PD,
North Miami FL PD,North Miami FL PD,St Petersburg FL PD - NPF LPR Study
Temple GA PD,Temple GA PD ,
Suwannee County FL SO,Suwanee County FL SO,St Petersburg FL PD - NPF LPR Study
Hapeville GA PD,Hapeville GA PD,
Volusia County FL SO,"Volusia County FL SO,Volusia County FL SO (MST Trailer) ,Volusia County FL SO (LR)",St Petersburg FL PD - NPF LPR Study
Brent AL PD,Brent AL PD,
Indian Harbour Beach FL PD,Indian Harbour Beach FL PD,St Petersburg FL PD - NPF LPR Study
Graceville FL PD,Graceville FL PD ,
Florida Office of Agriculture Law Enforcement,Florida Office of Agriculture Law Enforcement,St Petersburg FL PD - NPF LPR Study
Suwanee GA PD,Suwanee GA PD,
Riverdale GA PD,Riverdale GA PD,
Thomasville GA PD,Thomasville GA PD,
Berrien County GA SO,Berrien County GA SO,
FL - Sweetwater PD,Sweetwater FL PD,
Pelham AL PD,Pelham AL PD,
Paulding County GA SO,Paulding County GA SO,
Lake City FL PD,"Lake City FL PD Raven,Lake City FL PD",St Petersburg FL PD - NPF LPR Study
Lake Hamilton FL PD,Lake Hamilton FL PD,St Petersburg FL PD - NPF LPR Study
Slidell LA PD,Slidell LA PD,
Rockdale County GA SO,Rockdale County GA SO,
Hardee County FL SO,Hardee County FL SO,St Petersburg FL PD - NPF LPR Study
LaFayette County FL SO,"LaFayette County FL SO,Lafayette County FL SO (Flex)",St Petersburg FL PD - NPF LPR Study
Pierce County GA SO,Pierce County GA SO,
Jefferson GA PD,Jefferson GA PD,
Department of Natural Resources - GA,Georgia Department of Natural Resources (Falcon Flex),
Pooler GA PD,Pooler GA PD,
Osceola County FL SO,Osceola County FL SO,St Petersburg FL PD - NPF LPR Study
Liberty County FL SO,Liberty County FL SO,St Petersburg FL PD - NPF LPR Study
Tapatio's Restaurante Mexicano (FL),Tapatio's Restaurante Mexicano (FL),
Holly Hill FL PD,Holly Hill FL PD,St Petersburg FL PD - NPF LPR Study
Hardeeville SC PD,"Hardeeville SC PD (Flex),Hardeeville SC PD",
East Baton Rouge LA SO,East Baton Rouge Parish LA SO,
Loris SC PD,Loris SC PD,
Jefferson County FL SO,"Jefferson County FL SO (Flex),Jefferson County FL SO",St Petersburg FL PD - NPF LPR Study
Atlantic Beach FL PD,Atlantic Beach FL PD,St Petersburg FL PD - NPF LPR Study
Kissimmee FL PD,Kissimmee FL PD,St Petersburg FL PD - NPF LPR Study
Adairsville GA PD,Adairsville GA PD,St Petersburg FL PD - NPF LPR Study
Pineville NC PD,Pineville NC PD,
Altamonte Springs FL PD,Altamonte Springs FL PD (Flex),St Petersburg FL PD - NPF LPR Study
Sugar Hill GA PD,Sugar Hill GA PD (Flex),
Georgia Dept. of Corrections Intelligence Unit (GA),GA - Georgia Department of Corrections - Alscan,
Defuniak Springs FL PD,Defuniak Springs FL PD,St Petersburg FL PD - NPF LPR Study
Bay St. Louis MS PD,Bay St. Louis PD (MS),
Wilkinson County GA SO,Wilkinson County GA SO,
Melbourne FL PD,"Melbourne FL PD,Melbourne FL PD - Flex",St Petersburg FL PD - NPF LPR Study
Woodstock GA PD,"Woodstock GA PD,Woodstock GA PD - Wing (RedSpeed)",St Petersburg FL PD - NPF LPR Study
Covington LA PD,Covington LA PD,
Georgetown SC PD,Georgetown SC PD,
Rock Hill SC PD,Rock Hill SC PD,
Spartanburg County SC SO,Spartanburg County SC SO (Flex),
Havana FL PD,"Havana FL PD (Video Cameras),Havana FL PD",
Tifton GA PD,Tifton Police Department ,
Maitland FL PD,Maitland FL PD,St Petersburg FL PD - NPF LPR Study
Valdosta State University GA PD,Valdosta State Univ GA PD,
McIntosh County GA SO  ,McIntosh County GA SO ,
Richmond Hill GA PD,Richmond Hill GA PD,
Ware County GA SO ,Ware County GA SO ,
Florida Atlantic University FL PD,Florida Atlantic University (FL),St Petersburg FL PD - NPF LPR Study
Cook County GA SO,Cook County GA SO ,
Cherokee County GA SO,Cherokee County GA SO,
Vidalia GA PD,"Vidalia GA PD (Redspeed),Vidalia GA PD",
Horry County SC PD,Horry County SC PD,
McDonough GA PD,McDonough GA PD,
Folly Beach SC PD,Folly Beach SC PD,
Lake Alfred FL PD,Lake Alfred FL PD,St Petersburg FL PD - NPF LPR Study
Washington County SO - GA ,Washington County GA SO,
South Miami FL PD,South Miami PD (FL),St Petersburg FL PD - NPF LPR Study
Jasper AL PD,Jasper AL PD,
Conway SC PD,Conway SC PD,
Worth County GA SO,Worth County GA SO,
Cape Coral FL PD,Cape Coral FL PD,St Petersburg FL PD - NPF LPR Study
Meriwether County GA SO,"Meriwether County GA SO (FLEX) ,Meriwether County GA SO",
North Myrtle Beach SC PD,North Myrtle Beach SC PD,
Concord NC PD,Concord NC PD,
Senoia GA PD,Senoia GA PD,
Tuscaloosa AL PD,Tuscaloosa AL PD,
Wichita Falls TX PD,Wichita Falls TX PD ,
Dothan AL PD,Dothan AL PD,
Phenix City AL PD,Phenix City AL PD,
Jefferson Parish LA SO,Jefferson Parish LA SO,
Etowah County AL SO,Etowah County AL SO,
Jemison AL PD,Jemison AL PD,
St. John Parish LA SO,St. John Parish LA SO,
Moncks Corner SC PD,Moncks Corner SC PD,
Florida SouthWestern State College FL PD,Florida SouthWestern State College FL PD,St Petersburg FL PD - NPF LPR Study
Soperton GA PD,Soperton GA PD (RedSpeed),
Dade City FL PD,Dade City FL PD,St Petersburg FL PD - NPF LPR Study
Nassau County FL SO,Nassau County FL SO,St Petersburg FL PD - NPF LPR Study
Homewood AL PD,Homewood AL PD*,
Mountain Brook AL PD,Mountain Brook AL PD,
Hall County GA SO,Hall County GA SO,
Gardendale AL PD,Gardendale AL PD,
Albertville AL PD,Albertville AL PD,
Foley AL PD,Foley AL PD,
Deleted Account,Coconut Creek FL PD Flex,
"Public Service Authority, Santee Cooper Law Enforcement Division (SC)","Public Service Authority, Santee Cooper Law Enforcement Division (SC)",
Sea Ranch Lakes FL PD,Sea Ranch Lakes FL PD,St Petersburg FL PD - NPF LPR Study
Hart County GA SO,Hart County GA SO,
Jupiter Inlet Colony FL PD,Jupiter Inlet Colony FL PD,St Petersburg FL PD - NPF LPR Study
Iberville Parish LA SO,Iberville LA SO,
Tift County GA SO,Tift County GA SO,
Brantley County GA SO,Brantley County GA SO,
Moss Point MS PD ,Moss Point MS PD,
Longboat Key FL PD,Longboat Key FL PD,St Petersburg FL PD - NPF LPR Study
Covington County AL SO,Covington County SO (AL),
Peachtree Corners GA Marshal's Office,Peachtree Corners GA,
Livingston Parish County LA SO,Livingston Parish LA SO,
Ocilla GA PD,Ocilla GA PD,
York County SC SO,,St Petersburg FL PD - NPF LPR Study
Texas City TX PD,,St Petersburg FL PD - NPF LPR Study
New York State Police NY,,St Petersburg FL PD - NPF LPR Study
FL - Department of Corrections,,St Petersburg FL PD - NPF LPR Study
FL - State Office of the Attorney General - 7th Circuit,,St Petersburg FL PD - NPF LPR Study
Sarasota County FL SO,,St Petersburg FL PD - NPF LPR Study
South Carolina Law Enforcement Division - SLED,,St Petersburg FL PD - NPF LPR Study
Hamilton County FL SO,,St Petersburg FL PD - NPF LPR Study
Wakulla County FL SO,,St Petersburg FL PD - NPF LPR Study
WI Department of Justice,,St Petersburg FL PD - NPF LPR Study
Spokane County WA SO,,St Petersburg FL PD - NPF LPR Study
"Miami Dade (Duplicate, don't use)",,St Petersburg FL PD - NPF LPR Study
Eastborough KS PD,,St Petersburg FL PD - NPF LPR Study
Queen Creek AZ PD,,St Petersburg FL PD - NPF LPR Study
18th Judicial District Drug Task Force - TN PD,,St Petersburg FL PD - NPF LPR Study
Brigham City UT PD,,St Petersburg FL PD - NPF LPR Study
Franklin County FL SO,,St Petersburg FL PD - NPF LPR Study
Chipley FL PD,,St Petersburg FL PD - NPF LPR Study
Manalapan FL PD,,St Petersburg FL PD - NPF LPR Study
Sauk Village IL PD,,St Petersburg FL PD - NPF LPR Study
FL - Florida Department of Financial Services - Division of Consumer Services,,St Petersburg FL PD - NPF LPR Study
Indian River County FL SO (2),,St Petersburg FL PD - NPF LPR Study
Chattahoochee FL PD,,St Petersburg FL PD - NPF LPR Study
Sunrise FL PD,,St Petersburg FL PD - NPF LPR Study
TN ROCIC,,St Petersburg FL PD - NPF LPR Study
Polk County FL SO - Flex,,St Petersburg FL PD - NPF LPR Study
